name,POI,geometry
pharmacy one  2b,Pharmacies,POINT (8276164.951692863 3699007.707834897)
green pak pharmacy,Pharmacies,POINT (8278902.3870270625 3696211.342921046)
basheer pharmacy,Pharmacies,POINT (8277906.6898416625 3696652.4619926065)
danish pharmacy,Pharmacies,POINT (8277788.446278542 3694735.013411169)
don valley pharma mm alam road,Pharmacies,POINT (8276609.339100109 3699005.279216227)
khalid medical  26 general store,Pharmacies,POINT (8278463.832761133 3696206.2518229806)
islam pharmacy,Pharmacies,POINT (8279358.129022371 3696611.4315420156)
"green plus pharmacie, gurumangat road, lahore",Pharmacies,POINT (8277485.067270283 3698951.96724104)
bashir pharmacy,Pharmacies,POINT (8277903.127617957 3696649.655259968)
ali pharmacy,Pharmacies,POINT (8277569.158013628 3698102.85886294)
anjum medical store,Pharmacies,POINT (8284427.039771745 3695655.6033535562)
publix plus pharmacy,Pharmacies,POINT (8284450.750823283 3695668.94404426)
rasheed pharmacy,Pharmacies,POINT (8284381.832926532 3695732.0057647955)
mian health care centre and medical store,Pharmacies,POINT (8283787.030623325 3695410.4740191456)
hafiz medical store,Pharmacies,POINT (8283751.90932398 3694930.8028171393)
national pharmacy,Pharmacies,POINT (8281911.430786849 3695920.487975562)
fazal din's pharma plus,Pharmacies,POINT (8284374.374520649 3695793.423050498)
emeds pharmacy,Pharmacies,POINT (8282813.319037357 3695673.8260619175)
pharmacy 1 2b,Pharmacies,POINT (8281562.210412282 3695632.0156904873)
national plus pharmacy,Pharmacies,POINT (8281656.998958692 3695730.2826913083)
csh pharmacy,Pharmacies,POINT (8281568.38864402 3695633.0077550886)
pharmacy 7,Pharmacies,POINT (8281389.5093542645 3695855.1930954964)
medicure pharmacy,Pharmacies,POINT (8282103.200873638 3690328.401981919)
rafique sons pharmacy,Pharmacies,POINT (8283986.370435489 3695986.644759481)
green plus pharmice,Pharmacies,POINT (8281494.8287245035 3693818.042861653)
al-ghani medical and general store,Pharmacies,POINT (8283577.19338318 3696278.023447547)
mahmood pharmacy,Pharmacies,POINT (8282992.087007622 3695698.053429753)
generic community pharmacy,Pharmacies,POINT (8283223.898715251 3695930.8526887507)
khalid pharmacy,Pharmacies,POINT (8282252.424651046 3694603.8754219394)
csh pharmacy,Pharmacies,POINT (8282498.808080019 3694561.3247296354)
family care pharmacy,Pharmacies,POINT (8282389.325360823 3694609.2791094235)
2bwell pharmacy,Pharmacies,POINT (8282433.5080667185 3694651.294819003)
rasheed pharmacy,Pharmacies,POINT (8283596.006377125 3696288.17959728)
green plus pharmacie,Pharmacies,POINT (8283625.728681167 3692882.5179878636)
al-amin medical  26 general store,Pharmacies,POINT (8281227.550627108 3706342.9058200005)
al badar mehmood pharmacy,Pharmacies,POINT (8264725.7942147935 3693629.0710352)
get well pharmacy,Pharmacies,POINT (8283663.432592698 3692934.45926157)
mahmood pharmacy,Pharmacies,POINT (8277421.815535615 3694342.060490342)
anas medical store,Pharmacies,POINT (8283592.143590794 3691626.663456849)
fazal dins pharma plus dha phase 5 lahore,Pharmacies,POINT (8283681.388426564 3692810.2834428167)
al rehman pharmacy,Pharmacies,POINT (8282506.066110818 3703692.5382854743)
